内容,时间,分词,情感分值,情感类型
可以进，走南门就行,2023-02-23 18:06,南门 就行,0.7513,pos
需要什么，谢谢,2023-02-24 14:12,谢谢,0.9327,pos
体检业务推广，成交一人提50元，校内即可完成，上不封顶13838512244,2023-02-24 14:38,体检 业务 推广 成交 一人 校内 即可 封顶,0.6781,pos
在职MPA求复试资料,2023-02-24 14:11,在职 复试 资料,0.6646,pos
问一下郑州大学学费可以毕业后再交吗,2023-02-18 09:25,郑州大学 学费 毕业,0.9229,pos
拖到发毕业证,2023-02-19 07:54,拖到 毕业证,0.034,neg
快毕业会给一次缴清的机会，基本是该拍毕业照的时候。,2023-02-24 14:04,毕业 缴清 机会 毕业,0.9844,pos
直接问吧。看看能不能回答你,2023-02-22 12:27,回答,0.2718,neg
最好是环境类的，孩子想了解点东西,2023-02-24 13:48,环境 孩子 东西,0.4078,pos
蹲一个计算机与人工智能学院软件工程专业的学长学姐,2023-02-24 13:31,计算机 人工智能 学院 软件工程 专业 学长 学姐,0.9965,pos
绿牌414,2023-02-23 20:21,绿牌,0.6027,pos
导师得给你磕两个,2023-02-24 00:42,导师 两个,0.8515,pos
你想要导师研究点什么🤔,2023-02-24 10:05,想要 导师 研究,0.943,pos
抱歉，郑大录取分600+捏，你这分太少了,2023-02-24 12:07,抱歉 郑大 录取 分太少,0.0868,neg
不敢要啊 要了你就得进去蹲几年,2023-02-24 13:03,几年,0.5736,pos
感觉还是不算多。继续进步吧,2023-02-24 12:47,感觉 不算,0.2346,neg
郑州哪里烫头发比较好捏,2023-02-24 11:01,郑州 烫头发,0.758,pos
对不起，做不到,2023-02-24 11:59,对不起 不到,0.0411,neg
或许你别烫?看专业吧，我们专业有同学被辅导员说了，让赶紧恢复正常头发,2023-02-24 12:40,你别 专业 专业 同学 辅导员 赶紧 恢复正常 头发,0.196,neg
想问一下有计算机专业的在读研究生学长学姐吗？郑大研究生招生情况怎么样啊，这两年有可能继续扩招吗😭,2023-02-24 12:36,计算机专业 在读 研究生 学长 学姐 郑大 研究生 招生 情况 两年 扩招,0.9611,pos
